 ,Mean
1,136.425
2,190.018
3,201.674
4,125.198
5,177.434
6,223.389
7,133.612
8,147.811
9,120.749
10,138.539
11,199.611
12,311.924
13,133.059
14,178.873
15,280.553
16,192.284
17,248.066
18,234.494
19,124.720
20,153.089
21,174.106
22,130.162
23,159.105
24,151.695
25,207.437
26,208.549
27,129.773
28,149.272
29,186.648
30,219.860
31,240.642
32,238.683
33,142.988
34,197.648
35,235.457
36,150.293
37,116.040
38,151.011
39,165.608
40,153.131
41,168.677
42,116.215
43,189.934
44,266.586
45,192.937
46,258.273
47,248.522
48,152.190
49,319.885
50,290.772
51,136.173
52,126.331
53,165.049
54,139.350
55,170.623
56,354.773
57,206.727
58,181.858
59,203.029
60,150.787
61,288.898
62,250.251
63,161.045
64,172.421
65,233.647
66,147.313
67,156.683
68,163.369
69,117.019
70,107.406
71,202.138
72,143.492
73,140.118
74,162.909
75,164.229
76,128.489
77,185.121
78,182.162
79,183.302
80,167.740
81,129.113
82,126.956
83,150.936
84,150.603
85,165.718
86,221.214
87,220.735
88,182.774
89,265.252
90,197.784
91,149.191
92,169.109
93,126.819
94,117.152
95,165.645
96,146.598
97,166.656
98,173.448
99,127.117
100,168.976
101,199.739
102,121.532
103,168.890
104,226.850
105,220.199
106,187.724
107,218.736
108,351.231
109,119.472
110,144.744
111,144.356
112,159.542
113,197.838
114,287.168
115,164.260
116,229.271
117,322.393
118,131.878
119,184.008
120,222.034
121,115.422
122,145.830
123,169.993
124,198.711
125,230.384
126,281.316
127,114.623
128,195.403
129,138.694
130,174.564
131,221.948
132,235.697
133,258.835
134,269.399
135,213.646
136,132.335
137,210.590
138,313.231
139,152.117
140,209.043
141,221.913
142,276.319
143,321.124
144,316.630
145,132.942
146,171.075
147,196.692
148,118.516
149,166.508
150,197.909
151,120.722
152,148.378
153,149.735
154,281.623
155,265.068
156,161.259
157,231.541
158,200.242
159,125.361
160,131.168
161,202.954
162,213.331
163,123.383
164,166.294
165,173.175
166,283.149
167,265.354
168,154.237
169,148.651
170,177.005
171,165.238
172,146.885
173,192.525
174,202.856
175,148.376
176,214.248
177,215.917
178,197.496
179,319.158
180,161.763
181,124.127
182,235.029
183,247.341
184,215.851
185,198.457
186,128.847
187,150.590
188,151.618
189,133.215
190,112.249
191,160.399
192,196.380
193,129.536
194,195.613
195,205.123
196,231.408
197,207.771
198,132.138
199,280.827
200,282.361
201,141.499
202,199.267
203,227.735
204,153.913
205,253.712
206,266.548
207,130.368
208,246.035
209,264.885
210,216.027
211,128.791
212,192.675
213,189.364
214,130.869
215,172.018
216,221.523
217,134.705
218,185.707
219,139.995
220,209.004
221,363.697
222,142.732
223,144.419
224,322.397
225,275.887
226,161.011
227,465.207
228,366.948
229,141.813
230,209.079
231,233.465
232,126.853
233,197.105
234,199.883
235,133.370
236,184.338
237,146.308
238,129.085
239,181.255
240,202.907
