 ,Mean
1,279.606
2,225.959
3,156.960
4,262.332
5,222.352
6,150.657
7,113.585
8,148.413
9,236.904
10,265.807
11,207.773
12,131.697
13,129.288
14,157.519
15,222.224
16,244.558
17,219.549
18,141.754
19,451.306
20,437.628
21,154.626
22,138.872
23,153.198
24,120.042
25,109.359
26,156.843
27,169.677
28,164.219
29,222.188
30,188.392
31,292.193
32,286.068
33,250.822
34,200.073
35,201.876
36,147.488
37,679.082
38,450.553
39,291.597
40,138.724
41,185.358
42,132.013
43,207.570
44,212.530
45,172.877
46,282.555
47,228.057
48,175.182
49,142.170
50,211.045
51,254.310
52,128.406
53,178.840
54,206.355
55,159.576
56,189.011
57,335.912
58,112.426
59,165.539
60,848.632
61,232.199
62,231.380
63,1304.048
64,360.391
65,255.948
66,170.421
67,232.305
68,205.017
69,163.648
70,519.571
71,457.071
72,182.791
73,182.126
74,196.874
75,212.960
76,178.613
77,188.148
78,187.019
79,393.837
80,309.656
81,201.033
82,113.163
83,161.142
84,169.924
85,283.050
86,221.594
87,181.062
88,112.287
89,148.438
90,260.253
91,145.117
92,215.547
93,216.423
94,173.657
95,186.633
96,295.981
97,143.064
98,203.196
99,315.321
100,107.105
101,170.193
102,181.131
103,233.207
104,287.441
105,282.694
106,112.168
107,211.853
108,178.135
109,130.097
110,210.362
111,208.442
112,109.137
113,182.918
114,230.652
115,480.253
116,310.451
117,215.806
118,128.326
119,154.595
120,320.584
121,254.776
122,264.183
123,150.662
124,240.080
125,219.334
126,262.415
127,118.533
128,147.012
129,185.486
130,333.257
131,271.643
132,285.230
133,138.829
134,170.062
135,221.419
136,111.543
137,154.640
138,320.007
139,139.950
140,206.181
141,295.300
142,421.580
143,322.736
144,257.088
145,111.081
146,200.512
147,168.815
148,273.511
149,255.437
150,223.500
151,107.858
152,146.764
153,211.300
154,315.566
155,318.059
156,148.147
157,236.977
158,205.887
159,145.580
160,250.658
161,236.585
162,257.284
163,358.698
164,300.152
165,186.698
166,211.833
167,247.653
168,264.740
169,284.403
170,255.054
171,160.851
172,115.254
173,188.304
174,199.254
175,155.055
176,209.341
177,419.790
178,460.284
179,312.303
180,314.287
181,257.823
182,222.373
183,244.770
184,387.637
185,263.718
186,129.218
187,535.283
188,372.704
189,299.105
190,434.438
191,380.991
192,422.316
193,501.858
194,363.758
195,200.609
196,214.120
197,270.527
198,291.868
199,350.349
200,265.450
201,138.837
202,370.324
203,245.080
204,135.670
205,134.949
206,173.415
207,297.222
208,136.701
209,159.704
210,257.984
211,202.361
212,224.313
213,251.143
214,124.732
215,143.099
216,248.555
217,157.028
218,184.639
219,295.912
220,211.093
221,224.299
222,133.765
223,359.154
224,309.994
225,226.386
226,119.583
227,155.614
228,282.669
229,470.264
230,331.258
231,161.284
232,552.566
233,335.065
234,183.137
235,375.909
236,286.628
237,125.272
238,316.955
239,232.864
240,182.093
241,331.713
242,258.541
243,204.514
244,217.845
245,292.263
246,387.423
