 ,Mean
1,120.834
2,289.090
3,300.792
4,116.316
5,164.525
6,236.439
7,128.792
8,218.689
9,179.088
10,118.661
11,169.652
12,194.776
13,120.674
14,221.194
15,238.900
16,110.850
17,180.021
18,170.894
19,106.815
20,146.037
21,137.593
22,114.795
23,147.416
24,129.188
25,106.904
26,144.346
27,123.456
28,115.360
29,201.001
30,230.562
31,109.997
32,144.327
33,125.114
34,116.893
35,142.980
36,129.110
37,135.211
38,161.073
39,170.449
40,115.622
41,155.158
42,122.469
43,111.860
44,141.019
45,119.556
46,132.223
47,303.413
48,259.045
49,107.837
50,163.952
51,120.719
52,108.638
53,245.189
54,183.023
55,108.348
56,203.079
57,160.251
58,119.593
59,259.294
60,164.617
61,102.980
62,163.520
63,118.696
64,106.554
65,138.466
66,116.741
67,112.903
68,321.799
69,193.621
70,106.123
71,126.747
72,168.747
73,114.019
74,134.504
75,187.328
76,113.463
77,190.430
78,208.637
79,108.235
80,160.863
81,123.914
82,111.314
83,200.761
84,163.020
85,120.166
86,371.991
87,175.974
88,114.521
89,135.806
90,141.230
91,116.073
92,206.914
93,196.450
94,107.415
95,185.382
96,147.943
97,108.486
98,250.694
99,217.099
100,109.589
101,189.474
102,157.531
103,143.656
104,454.479
105,137.498
106,133.187
107,372.278
108,138.150
109,146.803
110,394.053
111,137.553
112,124.335
113,191.239
114,161.735
115,109.802
116,188.551
117,141.195
118,106.600
119,184.444
120,152.847
121,104.099
122,180.690
123,140.457
124,104.603
125,183.139
126,127.084
127,107.908
128,190.255
129,153.922
130,106.434
131,190.520
132,150.111
133,103.979
134,138.467
135,139.997
136,106.214
137,161.733
138,138.343
139,106.223
140,162.741
141,130.376
142,111.496
143,156.017
144,187.482
145,117.954
146,162.781
147,165.513
148,107.484
149,211.293
150,155.711
151,112.812
152,151.861
153,167.462
154,112.584
155,157.945
156,200.325
157,182.390
158,199.493
159,124.736
160,105.217
161,175.000
162,137.524
163,111.783
164,271.473
165,241.261
166,104.577
167,132.734
168,144.216
169,109.147
170,177.055
171,152.159
172,118.885
173,190.327
174,182.567
175,122.419
176,274.683
177,301.456
178,103.013
179,143.805
180,121.504
181,116.282
182,341.145
183,170.508
184,510.762
185,389.040
186,118.416
187,151.541
188,209.118
189,162.045
190,107.854
191,164.968
192,139.665
193,103.060
194,140.744
195,118.100
196,116.442
197,142.970
198,177.702
199,137.763
200,173.467
201,114.992
202,112.613
203,139.556
204,111.180
205,108.381
206,152.514
207,147.994
208,438.456
209,387.002
210,209.216
