 ,Mean
1,136.104
2,148.892
3,247.867
4,120.818
5,156.103
6,270.758
7,131.793
8,167.005
9,275.241
10,268.561
11,230.129
12,235.347
13,133.099
14,221.747
15,217.240
16,194.364
17,197.293
18,211.604
19,226.151
20,215.744
21,277.605
22,118.683
23,168.774
24,325.786
25,354.523
26,295.599
27,186.504
28,136.688
29,219.389
30,208.445
31,133.849
32,208.638
33,239.711
34,124.113
35,195.237
36,239.152
37,115.311
38,151.185
39,204.043
40,131.587
41,152.429
42,148.562
43,121.773
44,159.505
45,298.731
46,308.375
47,260.216
48,218.230
49,115.607
50,242.987
51,204.459
52,117.783
53,141.241
54,209.875
55,112.731
56,201.856
57,174.201
58,261.932
59,259.046
60,192.570
61,131.481
62,255.874
63,202.508
64,124.154
65,249.066
66,229.967
67,125.908
68,183.141
69,227.496
70,138.120
71,187.914
72,256.136
73,131.418
74,192.169
75,408.725
76,147.571
77,256.315
78,247.611
79,188.855
80,202.238
81,189.875
82,126.113
83,232.605
84,236.455
85,142.411
86,153.490
87,279.646
88,129.358
89,166.864
90,362.539
91,126.672
92,166.645
93,273.544
94,134.611
95,195.148
96,230.721
97,281.095
98,240.997
99,259.056
100,131.854
101,223.529
102,227.259
103,145.516
104,239.649
105,218.428
106,135.085
107,213.320
108,234.910
109,123.345
110,198.397
111,237.475
112,343.349
113,257.946
114,190.666
115,258.010
116,241.604
117,242.773
118,117.855
119,213.496
120,200.423
121,134.706
122,164.611
123,188.032
124,274.326
125,253.109
126,256.769
127,241.706
128,197.275
129,171.993
130,132.203
131,149.969
132,159.625
133,145.508
134,150.397
135,134.449
136,152.253
137,144.599
138,124.616
139,249.356
140,362.151
141,334.897
142,134.675
143,229.323
144,216.222
145,224.680
146,210.654
147,168.779
148,199.003
149,177.627
150,118.828
151,128.534
152,188.110
153,136.297
154,125.032
155,147.606
156,216.290
157,216.185
158,232.228
159,183.810
160,123.592
161,186.276
162,165.164
163,119.950
164,152.474
165,167.314
166,113.577
167,213.395
168,153.304
169,113.104
170,179.794
171,158.199
172,115.906
173,247.308
174,169.839
175,121.056
176,139.770
177,192.380
178,466.006
179,329.447
180,130.014
181,111.396
182,171.556
183,151.769
184,111.210
185,249.985
186,154.111
187,127.579
188,325.862
189,206.621
190,111.236
191,177.243
192,147.698
193,184.209
194,174.909
195,116.609
196,112.425
197,244.095
198,177.036
199,114.542
200,218.448
201,155.481
202,112.823
203,172.620
204,154.095
205,113.735
206,239.649
207,168.437
208,111.433
209,185.202
210,155.495
211,112.230
212,294.068
213,157.708
214,110.751
215,136.358
216,136.871
217,500.064
218,358.356
219,134.494
220,119.651
221,141.396
222,204.996
223,112.895
224,234.042
225,185.069
226,169.259
227,165.605
228,177.643
229,188.077
230,184.744
231,142.512
232,261.937
233,224.185
234,128.368
235,115.686
236,230.888
237,183.980
