 ,Mean
1,137.368
2,304.041
3,191.404
4,121.834
5,245.783
6,182.631
7,107.837
8,220.099
9,209.819
10,108.261
11,203.931
12,231.310
13,112.760
14,209.047
15,187.430
16,107.287
17,365.618
18,184.114
19,143.103
20,390.555
21,175.278
22,104.588
23,165.062
24,199.176
25,107.967
26,272.121
27,202.152
28,104.066
29,205.478
30,187.964
31,108.948
32,6390.831
33,130.632
34,7894.768
35,210.317
36,154.131
37,7616.967
38,184.425
39,124.763
40,5210.188
41,245.175
42,105.923
43,2454.942
44,253.381
45,105.756
46,2763.257
47,202.676
48,109.318
49,3497.896
50,241.525
51,115.055
52,5785.489
53,216.046
54,109.761
55,109.839
56,4418.157
57,178.586
58,184.656
59,287.426
60,168.761
61,108.810
62,287.426
63,168.761
64,120.660
65,396.921
66,203.656
67,125.528
68,125.965
69,250.971
70,214.692
71,239.499
72,323.178
73,183.997
74,254.151
75,398.824
76,179.437
77,117.586
78,261.874
79,186.294
80,116.193
81,267.061
82,193.984
83,108.977
84,281.627
85,135.883
86,315.819
87,372.058
88,234.087
89,228.733
90,372.058
91,234.087
92,103.670
93,149.959
94,389.377
95,106.689
96,160.137
97,148.070
98,106.018
99,225.612
100,129.211
101,106.139
102,156.083
103,203.333
104,105.225
105,198.268
106,250.938
107,105.074
108,153.957
109,218.204
110,116.343
111,224.034
112,238.735
113,108.426
114,164.377
115,171.846
116,105.321
117,180.354
118,127.226
119,106.996
120,212.366
121,237.512
122,106.326
123,191.798
124,280.022
125,113.972
126,189.631
127,335.675
128,105.387
129,163.653
130,315.297
131,106.107
132,197.071
133,154.008
134,106.623
135,230.025
136,159.731
137,178.677
138,383.797
139,363.295
140,194.095
141,560.983
142,367.810
143,221.966
144,366.521
145,388.716
146,156.727
147,201.628
148,192.806
149,141.701
150,199.197
151,157.947
152,131.368
153,149.875
154,125.385
155,234.007
156,412.209
157,369.759
158,171.184
159,232.468
160,230.411
161,164.273
162,273.227
163,146.161
164,167.418
165,334.416
166,146.381
167,168.599
168,334.590
169,285.964
170,290.298
171,303.810
172,172.085
173,157.049
174,208.962
