 ,Mean
1,166.949
2,259.743
3,138.971
4,196.243
5,218.861
6,145.570
7,126.881
8,181.414
9,122.556
10,122.813
11,166.505
12,141.603
13,189.898
14,237.107
15,117.107
16,238.124
17,367.140
18,127.456
19,119.357
20,138.845
21,115.003
22,104.450
23,132.231
24,111.358
25,102.856
26,143.951
27,109.223
28,104.271
29,162.625
30,119.663
31,112.312
32,148.183
33,130.526
34,112.455
35,146.213
36,118.422
37,111.321
38,155.397
39,128.812
40,119.843
41,168.420
42,118.807
43,113.188
44,136.559
45,110.107
46,358.993
47,1069.725
48,106.909
49,115.016
50,136.750
51,108.621
52,110.662
53,134.910
54,119.863
55,266.423
56,252.794
57,124.667
58,111.542
59,215.401
60,124.080
61,131.039
62,187.128
63,119.438
64,229.042
65,199.063
66,128.619
67,357.785
68,281.790
69,137.715
70,173.474
71,188.026
72,123.734
73,133.910
74,197.657
75,129.017
76,377.033
77,258.989
78,123.040
79,292.094
80,223.836
81,122.402
82,283.720
83,255.552
84,129.331
85,204.871
86,170.431
87,116.418
88,128.451
89,151.737
90,122.359
91,197.547
92,205.581
93,109.271
94,202.343
95,208.128
96,116.188
97,120.418
98,141.567
99,111.629
100,284.733
101,205.665
102,115.600
103,109.451
104,128.802
105,116.459
106,109.678
107,130.799
108,118.923
109,143.675
110,146.157
111,109.760
112,116.341
113,135.480
114,122.795
115,130.475
116,188.573
117,119.881
118,118.729
119,162.094
120,117.781
121,163.014
122,155.207
123,112.833
124,499.722
125,572.731
126,310.367
127,123.427
128,195.669
129,159.193
130,127.528
131,270.288
132,194.988
133,232.811
134,411.513
135,225.415
136,149.504
137,260.277
138,238.373
139,266.428
140,356.969
141,220.553
142,122.254
143,170.603
144,176.157
145,248.091
146,331.364
147,195.451
148,192.028
149,249.013
150,235.924
151,146.593
152,269.340
153,280.754
154,209.376
155,295.153
156,219.943
157,146.973
158,202.479
159,187.702
160,150.751
161,223.349
162,140.239
163,172.088
164,237.578
165,236.735
166,105.427
167,134.360
168,116.257
169,397.134
170,430.617
171,268.463
172,150.372
173,313.235
174,286.904
175,173.448
176,257.598
177,206.045
178,90.489
179,239.757
180,351.546
181,199.632
182,653.817
183,895.059
184,180.213
185,144.183
186,231.703
187,196.095
188,160.566
189,432.567
190,237.009
191,420.262
192,428.565
193,206.448
194,161.686
195,356.144
196,234.657
197,285.101
198,330.916
199,280.215
200,129.925
201,320.453
202,209.065
203,153.431
204,365.439
205,206.040
206,148.983
207,255.626
208,167.422
209,133.214
210,227.690
211,213.972
212,243.869
213,296.556
214,492.079
215,185.680
216,253.237
217,275.061
218,334.273
219,314.533
220,308.871
221,157.270
222,314.406
223,318.614
224,223.146
225,432.103
226,487.971
227,152.780
228,231.815
229,482.373
230,231.764
231,250.314
232,404.906
233,278.468
234,244.431
235,465.873
236,139.391
237,265.039
238,286.634
