 ,Mean
1,120.314
2,160.047
3,197.737
4,167.054
5,190.230
6,281.545
7,139.716
8,146.886
9,108.737
10,118.236
11,134.366
12,110.551
13,105.098
14,137.571
15,120.988
16,267.656
17,235.117
18,165.750
19,122.726
20,141.685
21,114.087
22,113.905
23,152.437
24,146.354
25,114.795
26,143.957
27,130.684
28,105.687
29,137.782
30,139.478
31,125.685
32,171.007
33,183.065
34,111.442
35,137.755
36,120.374
37,141.169
38,154.916
39,116.892
40,115.902
41,145.112
42,138.310
43,113.135
44,141.061
45,194.019
46,109.676
47,136.973
48,167.473
49,109.297
50,155.244
51,151.823
52,106.421
53,142.069
54,122.490
55,102.946
56,130.940
57,144.182
58,129.961
59,158.143
60,154.731
61,103.909
62,136.921
63,168.945
64,116.685
65,151.966
66,185.439
67,115.106
68,172.548
69,249.252
70,105.609
71,132.971
72,123.062
73,112.317
74,180.197
75,193.154
76,125.833
77,162.275
78,334.279
79,212.781
80,203.313
81,141.725
82,113.700
83,142.271
84,141.502
85,105.748
86,136.011
87,130.785
88,111.372
89,160.511
90,145.025
91,112.160
92,146.845
93,266.798
94,111.445
95,146.515
96,130.230
97,110.952
98,163.709
99,123.422
100,142.064
101,151.607
102,126.649
103,127.304
104,173.626
105,149.157
106,117.386
107,143.173
108,124.018
109,150.300
110,162.561
111,129.702
112,103.644
113,136.766
114,123.844
115,107.624
116,138.187
117,140.766
118,139.119
119,141.166
120,110.824
121,168.402
122,172.351
123,122.357
124,107.316
125,136.731
126,138.833
127,145.315
128,176.636
129,227.634
130,112.315
131,145.607
132,167.972
133,111.020
134,161.678
135,249.374
136,113.242
137,205.035
138,123.581
139,155.123
140,159.582
141,118.896
142,120.621
143,149.708
144,207.110
145,145.491
146,188.634
147,197.724
148,123.599
149,151.398
150,167.593
151,104.270
152,134.275
153,126.493
154,171.239
155,325.112
156,253.419
157,123.644
158,208.639
159,207.214
160,112.821
161,145.205
162,134.096
163,171.949
164,180.065
165,176.667
166,115.805
167,148.335
168,191.631
169,105.786
170,148.774
171,155.148
172,110.288
173,156.390
174,143.990
