 ,Mean
1,111.573
2,145.955
3,150.429
4,118.209
5,219.324
6,156.850
7,129.400
8,217.196
9,190.674
10,134.977
11,173.984
12,182.358
13,109.611
14,159.290
15,129.817
16,118.889
17,187.327
18,218.561
19,125.143
20,149.168
21,137.519
22,121.706
23,169.655
24,196.925
25,129.938
26,201.988
27,191.183
28,112.371
29,156.320
30,191.578
31,110.162
32,164.810
33,156.767
34,118.152
35,172.565
36,205.056
37,119.719
38,202.995
39,159.945
40,238.609
41,214.911
42,141.233
43,111.925
44,146.710
45,212.767
46,120.524
47,199.632
48,243.025
49,116.234
50,187.482
51,229.837
52,165.075
53,176.852
54,163.392
55,135.378
56,223.743
57,234.615
58,127.333
59,372.761
60,163.621
61,199.256
62,297.113
63,196.090
64,135.933
65,260.639
66,149.190
67,121.450
68,166.829
69,166.627
70,124.255
71,152.918
72,243.251
73,104.564
74,134.432
75,138.188
76,116.225
77,249.850
78,193.903
79,154.611
80,273.056
81,192.419
82,148.300
83,645.309
84,219.719
85,163.336
86,537.640
87,275.950
88,121.623
89,252.626
90,211.592
91,129.045
92,250.305
93,235.354
94,126.476
95,177.354
96,137.413
97,116.360
98,163.133
99,189.500
100,122.170
101,203.705
102,199.386
103,124.623
104,169.710
105,176.078
106,116.788
107,192.244
108,178.349
109,107.366
110,133.535
111,145.428
112,108.636
113,133.226
114,128.895
115,114.295
116,164.583
117,141.912
118,108.499
119,145.801
120,189.454
121,108.538
122,155.339
123,151.945
124,114.026
125,162.325
126,192.458
127,104.623
128,195.516
129,145.824
130,106.774
131,145.746
132,148.047
133,110.826
134,152.374
135,180.325
136,103.065
137,128.350
138,112.520
139,110.244
140,153.373
141,202.055
142,107.601
143,140.223
144,124.330
145,102.713
146,127.556
147,163.954
148,120.272
149,150.116
150,136.558
151,111.065
152,145.847
153,192.405
154,146.850
155,470.270
156,262.879
157,175.559
158,273.733
159,146.267
160,147.021
161,195.382
162,145.762
163,108.022
164,148.237
165,186.274
166,120.874
167,162.369
168,134.192
169,143.877
170,175.204
171,212.489
172,112.098
173,230.062
174,221.346
175,109.736
176,142.195
177,142.099
178,111.529
179,134.807
180,200.631
181,114.456
182,190.834
183,134.682
184,129.750
185,363.019
186,374.582
187,129.588
188,380.889
189,350.617
190,123.682
191,363.171
192,324.804
193,130.557
194,191.175
195,188.789
196,131.139
197,204.233
198,317.356
199,128.523
200,500.582
201,362.434
202,170.716
203,233.223
204,278.482
205,134.474
206,194.982
207,299.797
208,131.784
209,214.387
210,210.536
211,114.581
212,164.985
213,166.242
214,239.861
215,400.681
216,327.295
217,108.853
218,162.281
219,205.210
220,110.761
221,259.315
222,227.550
223,138.600
224,187.373
225,195.642
226,120.596
227,222.217
228,303.512
229,123.377
230,303.270
231,267.233
232,117.679
233,254.632
234,388.077
235,122.941
236,212.039
237,405.066
238,220.206
239,304.343
240,230.081
241,136.539
242,318.865
243,351.543
244,118.877
245,350.172
246,354.662
